Date,AAPL,SPY
2025-03-13,209.1680145263672,546.6301879882812
2025-03-14,212.96871948242188,557.9212646484375
2025-03-17,213.4774627685547,562.2236328125
2025-03-18,212.170654296875,556.1468505859375
2025-03-19,214.7144317626953,562.2037963867188
2025-03-20,213.5772247314453,560.5780029296875
2025-03-21,217.73703002929688,560.762939453125
2025-03-24,220.19102478027344,570.8053588867188
2025-03-25,223.2036590576172,572.177490234375
2025-03-26,220.9890594482422,565.3466796875
2025-03-27,223.30340576171875,563.8452758789062
2025-03-28,217.36793518066406,552.4904174804688
2025-03-31,221.58761596679688,556.1991577148438
2025-04-01,222.64501953125,557.7700805664062
2025-04-02,223.3433074951172,561.2999267578125
2025-04-03,202.69386291503906,533.6385498046875
2025-04-04,187.92002868652344,502.3977966308594
2025-04-07,181.0169219970703,501.5029296875
2025-04-08,171.99899291992188,493.64801025390625
2025-04-09,198.3644561767578,545.4906005859375
2025-04-10,189.95504760742188,521.5877075195312
2025-04-11,197.66615295410156,530.894287109375
2025-04-14,202.02549743652344,536.0447387695312
2025-04-15,201.64642333984375,534.5433349609375
2025-04-16,193.79563903808594,522.6614990234375
2025-04-17,196.4990234375,523.4072265625
2025-04-21,192.68833923339844,510.94873046875
2025-04-22,199.25228881835938,524.2424926757812
2025-04-23,204.10043334960938,532.3658447265625
2025-04-24,207.8612060546875,543.5715942382812
2025-04-25,208.76898193359375,547.4990844726562
2025-04-28,209.62689208984375,547.7078247070312
2025-04-29,210.69427490234375,551.1580810546875
2025-04-30,211.9811248779297,551.3768310546875
2025-05-01,212.79913330078125,555.2843627929688
2025-05-02,204.8485870361328,563.527099609375
2025-05-05,198.40435791015625,560.2955932617188
2025-05-06,198.0252685546875,555.6124877929688
2025-05-07,195.7707977294922,557.9490966796875
2025-05-08,197.00778198242188,561.8367919921875
2025-05-09,198.0452423095703,561.1209106445312
2025-05-12,210.55104064941406,579.66455078125
2025-05-13,212.68861389160156,583.4926147460938
2025-05-14,212.08929443359375,584.2383422851562
