Date,AAPL,MSFT
2025-01-21,221.85244750976562,426.1583251953125
2025-01-22,223.03822326660156,443.7615966796875
2025-01-23,222.8688507080078,444.2687683105469
2025-01-24,221.991943359375,441.6332702636719
2025-01-27,229.04690551757812,432.1852111816406
2025-01-28,237.41717529296875,444.7561340332031
2025-01-29,238.5133056640625,439.9127197265625
2025-01-30,236.7495574951172,412.7221374511719
2025-01-31,235.16519165039062,412.791748046875
2025-02-03,227.2034454345703,408.6744079589844
2025-02-04,231.9765167236328,410.116455078125
2025-02-05,231.64767456054688,411.0314636230469
2025-02-06,232.39501953125,413.5475769042969
2025-02-07,226.82479858398438,407.5107727050781
2025-02-10,227.0941162109375,409.96728515625
2025-02-11,232.05198669433594,409.1915588378906
2025-02-12,236.29161071777344,406.8046569824219
2025-02-13,240.9402313232422,408.29644775390625
2025-02-14,244.00274658203125,406.1979675292969
2025-02-18,243.87306213378906,407.4013977050781
2025-02-19,244.27207946777344,412.5033264160156
2025-02-20,245.22975158691406,414.6857604980469
2025-02-21,244.95042419433594,406.793212890625
2025-02-24,246.49664306640625,402.59783935546875
2025-02-25,246.43678283691406,396.5190124511719
2025-02-26,239.77310180664062,398.3426818847656
2025-02-27,236.72056579589844,391.1676330566406
2025-02-28,241.24948120117188,395.6121520996094
2025-03-03,237.4487762451172,387.14166259765625
2025-03-04,235.35391235351562,387.26123046875
2025-03-05,235.1643829345703,399.628173828125
2025-03-06,234.75538635253906,395.5125427246094
2025-03-07,238.4862518310547,391.9449462890625
2025-03-10,226.92454528808594,378.840576171875
2025-03-11,220.30075073242188,379.1296081542969
2025-03-12,216.45018005371094,381.9397888183594
2025-03-13,209.16799926757812,377.45538330078125
2025-03-14,212.9687042236328,387.21142578125
2025-03-17,213.4774627685547,387.3509521484375
2025-03-18,212.17066955566406,382.1889343261719
2025-03-19,214.7144317626953,386.4739990234375
2025-03-20,213.5772247314453,385.4974060058594
2025-03-21,217.73704528808594,389.9020690917969
2025-03-24,220.19102478027344,391.7157287597656
2025-03-25,223.2036590576172,393.7885437011719
2025-03-26,220.98907470703125,388.6165466308594
2025-03-27,223.3034210205078,389.2243957519531
2025-03-28,217.36793518066406,377.48529052734375
2025-03-31,221.58761596679688,374.087158203125
2025-04-01,222.64503479003906,380.863525390625
2025-04-02,223.34332275390625,380.813720703125
2025-04-03,202.69384765625,371.8150329589844
2025-04-04,187.92002868652344,358.5910949707031
2025-04-07,181.0169219970703,356.61798095703125
2025-04-08,171.9989776611328,353.3294372558594
2025-04-09,198.3644561767578,389.1347351074219
2025-04-10,189.9550323486328,380.0264587402344
2025-04-11,197.66615295410156,387.101806640625
2025-04-14,202.02549743652344,386.4640197753906
2025-04-15,201.6464080810547,384.3912658691406
2025-04-16,193.79563903808594,370.32025146484375
2025-04-17,196.4990234375,366.5035400390625
2025-04-21,192.6883544921875,357.87359619140625
2025-04-22,199.25228881835938,365.5469055175781
2025-04-23,204.1004180908203,373.09063720703125
2025-04-24,207.8612060546875,385.9557800292969
2025-04-25,208.76898193359375,390.4900207519531
2025-04-28,209.62689208984375,389.80242919921875
2025-04-29,210.6942901611328,392.67242431640625
2025-04-30,211.9811248779297,393.88818359375
2025-05-01,212.79913330078125,423.9235534667969
2025-05-02,204.8485870361328,433.769287109375
2025-05-05,198.40435791015625,434.65618896484375
2025-05-06,198.02528381347656,431.8061218261719
2025-05-07,195.7707977294922,431.8459777832031
2025-05-08,197.00778198242188,436.6492614746094
2025-05-09,198.0452423095703,437.2073059082031
2025-05-12,210.55104064941406,447.7007751464844
2025-05-13,212.68861389160156,447.5812072753906
2025-05-14,212.08929443359375,451.36798095703125
2025-05-15,211.21029663085938,452.3863220214844
2025-05-16,211.0205078125,453.5244445800781
2025-05-19,208.54331970214844,458.11688232421875
