Date,AAPL,AMZN,GOOGL,IWM,META,MSFT,NVDA,QQQ,SPY,TSLA
2025-02-03,227.2034454345703,237.4199981689453,200.57608032226562,222.0830841064453,695.8346557617188,408.6744079589844,116.63459777832031,516.1597900390625,592.57763671875,383.67999267578125
2025-02-04,231.9765167236328,242.05999755859375,205.7093505859375,225.15890502929688,702.5489501953125,410.116455078125,118.62416076660156,522.4957885742188,596.5527954101562,392.2099914550781
2025-02-05,231.64767456054688,236.1699981689453,190.70826721191406,227.609619140625,703.2274169921875,411.0314636230469,124.80281829833984,524.8668823242188,598.9714965820312,378.1700134277344
2025-02-06,232.39501953125,238.8300018310547,190.97738647460938,226.865478515625,710.3307495117188,413.547607421875,128.65196228027344,527.6065063476562,601.0533447265625,374.32000732421875
2025-02-07,226.82479858398438,229.14999389648438,184.73770141601562,224.2361602783203,712.8548583984375,407.5107727050781,129.81170654296875,520.95166015625,595.5515747070312,361.6199951171875
2025-02-10,227.0941162109375,233.13999938964844,185.86404418945312,225.24819946289062,715.7281494140625,409.96728515625,133.54090881347656,527.2578735351562,599.5960693359375,350.7300109863281
2025-02-11,232.05198669433594,232.75999450683594,184.71778869628906,223.93849182128906,718.12255859375,409.1915588378906,132.77108764648438,526.0025634765625,600.0521240234375,328.5
2025-02-12,236.29161071777344,228.92999267578125,183.01333618164062,221.87472534179688,723.6895751953125,406.8046569824219,131.11143493652344,526.3114624023438,598.1190795898438,336.510009765625
2025-02-13,240.9402313232422,230.3699951171875,185.5351104736328,224.37506103515625,726.8621826171875,408.2964782714844,135.26052856445312,533.8828125,604.4337158203125,355.94000244140625
2025-02-14,244.00274658203125,228.67999267578125,184.62808227539062,224.2063751220703,734.9533081054688,406.1979675292969,138.81976318359375,536.1243896484375,604.4039916992188,355.8399963378906
2025-02-18,243.87306213378906,226.64999389648438,183.17283630371094,225.43670654296875,714.7005615234375,407.4013977050781,139.36964416503906,537.3397216796875,606.1784057617188,354.1099853515625
2025-02-19,244.27207946777344,226.6300048828125,184.66795349121094,224.6627960205078,702.1300048828125,412.5033264160156,139.19967651367188,537.4892578125,607.6058959960938,360.55999755859375
2025-02-20,245.22975158691406,222.8800048828125,183.9602508544922,222.50973510742188,693.2207641601562,414.6857604980469,140.07948303222656,535.207763671875,605.078125,354.3999938964844
2025-02-21,244.95042419433594,216.5800018310547,179.076171875,216.1001434326172,681.95703125,406.793212890625,134.4007110595703,524.099853515625,594.7288208007812,337.79998779296875
2025-02-24,246.49664306640625,212.7100067138672,178.66751098632812,214.54241943359375,666.572998046875,402.59783935546875,130.2516326904297,517.9131469726562,592.0225219726562,330.5299987792969
2025-02-25,246.43678283691406,212.8000030517578,174.84994506835938,213.7288055419922,655.9677734375,396.51898193359375,126.60242462158203,511.3877868652344,589.0783081054688,302.79998779296875
2025-02-26,239.77310180664062,214.35000610351562,172.16868591308594,213.9967041015625,672.1300048828125,398.3426513671875,131.2514190673828,512.6231079101562,589.3756103515625,290.79998779296875
2025-02-27,236.72056579589844,208.74000549316406,167.9524383544922,210.7323760986328,656.7060546875,391.16766357421875,120.12384033203125,498.38690185546875,579.9680786132812,281.95001220703125
2025-02-28,241.24948120117188,212.27999877929688,169.72665405273438,212.9747314453125,666.642822265625,395.6121520996094,124.89279174804688,506.2572021484375,589.018798828125,292.9800109863281
2025-03-03,237.4487762451172,205.02000427246094,166.46726989746094,207.1505584716797,653.5234375,387.14166259765625,114.03515625,495.1790466308594,578.69921875,284.6499938964844
2025-03-04,235.35391235351562,203.8000030517578,170.3645782470703,204.8089599609375,638.5084838867188,387.26123046875,115.96473693847656,493.6846923828125,571.8492431640625,272.0400085449219
2025-03-05,235.1643829345703,208.36000061035156,172.457763671875,206.8429718017578,654.940185546875,399.628173828125,117.27445983886719,500.120361328125,577.995361328125,279.1000061035156
2025-03-06,234.75538635253906,200.6999969482422,171.78994750976562,203.6778564453125,626.4666137695312,395.5125427246094,110.5459213256836,486.3623962402344,567.7352905273438,263.45001220703125
2025-03-07,238.4862518310547,199.25,173.29502868652344,204.34263610839844,624.201904296875,391.9449462890625,112.66545867919922,489.9388732910156,570.9173583984375,262.6700134277344
2025-03-10,226.92454528808594,194.5399932861328,165.52139282226562,199.20306396484375,596.596435546875,378.8406066894531,106.95669555664062,470.95062255859375,555.710693359375,222.14999389648438
2025-03-11,220.30075073242188,196.58999633789062,163.6952362060547,199.1832275390625,604.2985229492188,379.12957763671875,108.73631286621094,469.8248596191406,551.0911254882812,230.5800018310547
2025-03-12,216.45018005371094,198.88999938964844,166.7587890625,199.53050231933594,618.1162109375,381.9397888183594,115.7254409790039,475.1248474121094,554.0155029296875,248.08999633789062
2025-03-13,209.16799926757812,193.88999938964844,162.41793823242188,196.5539093017578,589.2636108398438,377.45538330078125,115.56546020507812,466.5771179199219,546.6302490234375,240.67999267578125
2025-03-14,212.9687042236328,197.9499969482422,165.14219665527344,201.3065185546875,606.7233276367188,387.21142578125,121.65469360351562,477.8545227050781,557.9212646484375,249.97999572753906
2025-03-17,213.4774627685547,195.74000549316406,163.9447021484375,203.84654235839844,604.0272827148438,387.3509521484375,119.51496124267578,480.9527893066406,562.2235717773438,238.00999450683594
2025-03-18,212.17066955566406,192.82000732421875,160.3323211669922,202.0764923095703,581.5197143554688,382.18890380859375,115.41547393798828,472.7538146972656,556.1468505859375,225.30999755859375
2025-03-19,214.7144317626953,195.5399932861328,163.54556274414062,205.21884155273438,583.2173461914062,386.4740295410156,117.50520324707031,479.07989501953125,562.2037353515625,235.86000061035156
2025-03-20,213.5772247314453,194.9499969482422,162.45785522460938,203.91615295410156,585.1544799804688,385.49737548828125,118.51508331298828,477.4560546875,560.5780029296875,236.25999450683594
2025-03-21,217.73704528808594,196.2100067138672,163.64535522460938,202.65322875976562,595.3897094726562,389.9020690917969,117.68518829345703,479.0300598144531,560.762939453125,248.7100067138672
2025-03-24,220.19102478027344,203.25999450683594,167.3275909423828,207.6949462890625,617.9570922851562,391.7157287597656,121.39472961425781,489.54205322265625,570.8053588867188,278.3900146484375
2025-03-25,223.2036590576172,205.7100067138672,170.2015380859375,206.5414276123047,625.4063720703125,393.7885437011719,120.67481994628906,492.3356628417969,572.177490234375,288.1400146484375
2025-03-26,220.98907470703125,201.1300048828125,164.7130889892578,204.4431915283203,610.0984497070312,388.6165466308594,113.74568939208984,483.2763671875,565.3466796875,272.05999755859375
2025-03-27,223.3034210205078,201.36000061035156,161.89903259277344,203.46865844726562,601.7105712890625,389.2243957519531,111.41597747802734,480.52264404296875,563.8452758789062,273.1300048828125
2025-03-28,217.36793518066406,192.72000122070312,154.0056610107422,199.3318634033203,575.9078369140625,377.48529052734375,109.65619659423828,467.8715515136719,552.4904174804688,263.54998779296875
2025-03-31,221.58761596679688,190.25999450683594,154.31500244140625,198.37722778320312,575.5284423828125,374.087158203125,108.36636352539062,467.85162353515625,556.1991577148438,259.1600036621094
2025-04-01,222.64503479003906,192.1699981689453,156.73989868164062,198.3970947265625,585.1544799804688,380.8635559082031,110.13614654541016,471.62298583984375,557.7700805664062,268.4599914550781
2025-04-02,223.34332275390625,196.00999450683594,156.70994567871094,201.529541015625,583.0874633789062,380.813720703125,110.4061050415039,475.06512451171875,561.2998657226562,282.760009765625
2025-04-03,202.69384765625,178.41000366210938,150.4032440185547,188.59210205078125,530.8529663085938,371.8150329589844,101.78720092773438,449.6332092285156,533.6386108398438,267.2799987792969
2025-04-04,187.92002868652344,171.0,145.29400634765625,180.17930603027344,504.00177001953125,358.59112548828125,94.29813385009766,421.70697021484375,502.3977966308594,239.42999267578125
2025-04-07,181.0169219970703,175.25999450683594,146.4415740966797,178.54844665527344,515.505126953125,356.61798095703125,97.6277084350586,422.7246398925781,501.5029296875,233.2899932861328
2025-04-08,171.9989776611328,170.66000366210938,144.39588928222656,173.84483337402344,509.7135314941406,353.3294372558594,96.28788757324219,415.1120300292969,493.64801025390625,221.86000061035156
2025-04-09,198.3644561767578,191.10000610351562,158.37644958496094,188.6219482421875,584.9248657226562,389.13470458984375,114.31561279296875,464.938232421875,545.4906005859375,272.20001220703125
2025-04-10,189.9550323486328,181.22000122070312,152.4988250732422,180.6964111328125,545.5018310546875,380.0264587402344,107.55646514892578,445.16339111328125,521.5877685546875,252.39999389648438
2025-04-11,197.66615295410156,184.8699951171875,156.80975341796875,183.3316192626953,542.7857666015625,387.1018371582031,110.9160385131836,453.3646545410156,530.8943481445312,252.30999755859375
2025-04-14,202.02549743652344,182.1199951171875,158.73570251464844,185.489501953125,530.713134765625,386.4640197753906,110.6960678100586,456.4376525878906,536.0447387695312,252.35000610351562
